name	description
vwdexpress	 
manualresetevent	 
microsoft-ui-automation	The Microsoft UI Automation (UIA) framework provides programmatic access to most user interface elements on Win32, WinForms, and WPF applications. It is primarily used for the purposes of automated UI
ipad-3	The 3rd Generation Apple iPad.
blocked	 
cpu-speed	 
android-backup-service	integrated with Android's data backup framework to perform data backup and restore for most devices running Android 2.2 or greater, using Google servers and a backup transpor
skins	a custom graphical appearance achieved by the use of a graphical user interface (GUI) that can be applied to specific software and websites to suit the purpose, topic, or tastes of different
scite	a text editor based on the Scintilla source code editing component. Originally built to demonstrate Scintilla, it has grown to be a generally useful editor with facilities for building and ru
env	 
postdata	"the data sent by an HTTP POST Request, which is one request type of the HTTP Specification.
In contrast to the GET Request, it contains a message body which can contain any type of data, "
appstore-approval-process	often used to identify questions which are off topic on StackOverflow.  If this tag is appropriate for your question, please do not ask it.
xml-drawable	Solid drawables in android, these drawables are placed in 'drawable' folder inside 'res' folder, these are saved as xml files
drawer	 
mylocationoverlay	An Android Overlay for drawing the user's current location (and accuracy) on the map, and/or a compass-rose inset.
m4	a general purpose macro processing language developed by Brian Kernighan and Dennis Ritchie.
moovweb	a mobile development framework that gives you total control over the user experience of your site.
youtube.net-api	 
spyder	"a powerful interactive development environment for the Python language with advanced editing, interactive testing, debugging and introspection features.

<http:"
uimapview	 
devil	a programmer's library to develop applications with very powerful image loading capabilities, yet is easy for a developer to learn and use
abstract-factory	a software design pattern that provides a way to encapsulate a group of individual factories that have a common theme without specifying their concrete classes.
jsf-2.2	the major JSF upgrade that's part of Java EE 7. It has some significant new features like task flows (Faces Flow), a stateless mode, basic theming (resource library contracts),
apache-wink	a simple yet solid framework for building RESTful Web services. It is comprised of a Server module and a Client module for developing and consuming RESTful Web services.
badimageformatexception	thrown when the file image of a dynamic link library (DLL) or an executable program is invalid.
ape	a full-featured open source solution designed for Ajax push. It includes a webserver and a JavaScript framework. APE allows to implement any kind of real-time data streaming to a web browser, w
jsapi	Java Speech API - if needed, find more details at http://en.wikipedia.org/wiki/Java_Speech_API
asp.net-mvc-controller	The ASP.NET MVC framework maps URLs to classes that are referred to as controllers. Controllers process incoming requests, handle user input and interactions, and execute appropriate application logic
8bit	In computer architecture, 8-bit integers, memory addresses, or other data units are those that are at most 8 bits (1 octet) wide. Also, 8-bit CPU and ALU architectures are those that are based on regi
anonymous-inner-class	local classes that are declared and instantiated inline.
sqldf	an R package for running SQL statements on R data frames
jgoodies	The JGoodies Swing Suite provides components and solutions that complement Swing to solve common user interface tasks. It advocates a UI production process that lets you save time and money while ensu
ratingbar	 
android-selector	 
lzw	a compression algorithm which supercedes LZ78.
step	STEP (Standard for the Exchange of Product data), otherwise known as ISO 10303, provides a mechanism to describe product data throughout the life cycle of a product, independent from any particular sy
steam	Steam provides simple API's and OpenID endpoints for user authentication. Use this tag for question relating to Steam or it's OpenID endpoint.
dual	 
non-greedy	"A technique used in regular expressions, that limits the matching text until all conditions of the given regex have been met. The operator ""?"" is added to the end of wildcard operations."
r-tree	a popular index structure for spatial data, stored as Minimum Bounding Rectangles (MBRs).
braces	"The symbols ""{"" and ""}"", commonly used in programming languages. Please use this tag only if the specific usage of these symbols is a relevant part of the question."
postconstruct	a Java EE annotation used to select a method that will be ca
powercli	a Windows Powershell snapin that provides additional cmdlets to assist System Administrators in managing and automating their virtual environment.
equalizer	 
tint	 
namevaluecollection	 
character-arrays	 
charles	an HTTP proxy / HTTP monitor / Reverse Proxy that enables a developer to view all of the HTTP and SSL / HTTPS traffic between their machine and the Internet. This includes requests, respons
mkstorekit	a 3rd party framework for implementing In App Purchases in iOS apps. It supports virtually every feature supported by App Store. It supports, Auto-renewable subscriptions, Consumables, n
smslib	a programmer's library for sending and receiving SMS messages via a GSM modem or mobile phone. SMSLib also supports a few bulk SMS operators.
ioncube	a company that offers tools for licensing, encryping, and protecting source code.
pointfree	The pointfree (also called pointless) style of defining a function is to express it directly in terms of existing functions, without mentioning the arguments of the function being defined. Function co
pointcut	 
zoho	a SaaS based company which offers a comprehensive suit of on-line business, productivity & collaboration applications.
html-parser	 
multiple-versions	 
multiple-forms	 
msgbox	 
binarywriter	 
loadview	 
database-security	 
adaboost	a meta machine learning algorithm. It performs several rounds of training in which the best weak classifiers are selected. At the end of each round, the still missclassified training sampl
passwordbox	 
scsi	Small Computer System Interface (SCSI, pronounced skuz-ee) is a set of standards for physically connecting and transferring data between computers and peripheral devices. 
pixastic	a JavaScript library which allows you to perform a variety of operations, filters and fancy effects on images using just a bit of JavaScript.
pisa	a Python HTML/XHTML/CSS to PDF converter
simplecv	an Open Source Framework for Machine Vision
towers-of-hanoi	A simple puzzle involving moving discs between rods. Commonly used as a programming kata/exercise and frequently set as homework when introducing the concept of recursion.
ftdi	a company based in United Kingdom that is producing solutions for converting legacy peripherals to Universal Serial Bus.
virtual-address-space	 
regional-settings	 
htc-desire	an Android-powered smartphone that widely used as test device for Android development at here.
ia-32	 
reviews	 
revision-history	 
hibernate3	 
bbpress	Forum plugin for WordPress
xml-simple	"The ""simple"" libraries for working with XML in Ruby or Perl."
volume-shadow-service	Volume Shadow Service (VSS), also called Volume Shadow Copy refers to a volume shapshot service built in to Microsoft Windows Operating Systems from XP or greater. Questions concerning the API should 
virtualizingstackpanel	Arranges and virtualizes content on a single line that is oriented either horizontally or vertically.
color-mapping	used when displaying intensity images (2D arrays). The color maps intensity values to RGB colors of the display.
color-palette	 
collect	 
code-translation	 
core-video	a pipeline model for digital video in MacOS X 10.4, iOS 4.0 and above.
transaction-isolation	Transaction isolation relates to the visibility and impact of changes made in one transaction on concurrent transactions.
textwrangler	the little brother to BBEdit, a professional HTML and text editor for the Macintosh.
unique-id	 
switch-case	 
remote-branch	 
relay	 
qtscript	an ECMA262-compatible implementation of JavaScript. It is the successor of QSA (Qt Script For Applications), but is being phased out in recent Qt versions in favour of Google's V8 engine.
radix	In mathematical numeral systems, the radix or base is the number of unique digits, including zero, that a positional numeral system uses to represent numbers. For example, for the decimal system (the 
rack-pow	a zero-config Rack server for Mac OS X created by 37signals.
roman-numerals	an ancient way of representing numbers. The most common symbols are I, V, X, L, C, D, M.
seh	Microsoft Structured Exception Handling (SEH) is the native exception handling mechanism for Windows.
scriptengine	 
protected-mode	 
oraclereports	tool for developing reports against data stored in an Oracle database. Oracle Reports consists of Oracle Reports Developer (a component of the Oracle Developer Suite) and Oracle Application Server Rep
mapping-model	a Core Data construct that helps define how one version of a object model is migrated to another version the object model.
dynamic-data-display	Dynamic Data Display a set of WPF controls for adding interactive visualization of dynamic data to a WPF or Silverlight application. It allows to create line graphs, bubble charts, heat maps and other
findwindow	 
extras	 
euler-angles	three angles introduced by Leonhard Euler to describe the 3D orientation of a rigid body.
excanvas	a JavaScript library for bringing the HTML5 Canvas 2D API to versions of Internet Explorer prior to version 9.
invocationtargetexception	a checked exception that wraps an exception thrown by an invoked method or constructor.
irq	a hardware signal sent to the processor that temporarily stops a running program and allows to handle a hardware event.
isp	 
interception	 
inherited-resources	Inherited Resources speeds up development by making your controllers inherit all restful actions so you just have to focus on what is important.
freertos	a portable, open source, real-time operating systems for microcontrollers. It also has some support for microprocessors with memory protection units.
git-revert	Revert changes of a commit in a Git repository
ibm-connections	social software for business that lets you access everyone in your professional network, including your colleagues, customers, and partners.
glasspane	used in Java, is useful, when you want to be able to catch events or paint over an area that already contains one or more components.
gradients	 
infobox	used to create pop-up balloons for pushpins to be displayed in Bing Maps (similar to InfoWindow in Google)
eventviewer	Event Viewer - tool in Windows systems that allows users to inspect the event logs.
dynamic-columns	 
docker	Docker complements LXC with a high-level API which operates at the process level. It runs unix processes with strong guarantees of isolation and repeatability across servers.
makecert	a command line X.509 digital certificate creation tool included with Microsoft Visual Studio. The certificates created are for testing purposes only.
keystrokes	 
lines-of-code	The number of code lines. Can be used as a metric.
mgwt	an mobile extension to GWT which allows to write mobile apps with GWT
mysql-error-1111	MySql Error #1111 - Invalid use of group function 
opensaml	a java and c++ library that provides low level handling of SAML messages
nscombobox	 
novell	An operating system, originally NetWare, now Linux-based
projection-matrix	 
pascalscript	object pascal scripting engine
pageviews	 
pair-programming	an agile software development technique in which two programmers work together at one work station
platform-builder	a programming tool that allows building a customized version of Windows CE (Windows Embedded CE/Windows Embedded Compact) or Windows Mobile.It is also used on development of device
session-hijacking	"a type of network security attack that relies on ""guessing"" the ISNs of TCP packets and taking control over communication. The attacker intercepts and retransmits messages such as"
sentence	 
pysvn	a library extension, and client program for accessing SVN repositories in the Python programming language.
reentrancy	Reentrancy usually refers to subroutines, functions, methods and mutexes. A subroutine is considered reentrant if it can be safely called before a previous call has completed.
recycling	 
remote-control	 
stripslashes	 
tablet-pc	 
sql-server-express-2008	a free relational database management system specifically targeting small-scale applications.
telephone	 
testacular	a simple tool that allows you to execute JavaScript code in multiple real browsers, powered by Node.js and Socket.io.
tikz	a set of higher-level TeX macros for producing vector graphics that use PGF (Portable Graphics Format)
datacontractjsonserialize	 
css-menu	Questions about creating menus using CSS.
clientaccesspolicy.xml	 
cherokee	a fast, flexible and easy to configure Web Server.
catextlayer	 
bsd-license	a family of permissive free software licenses. The original license was used for the Berkeley Software Distribution (BSD), a Unix-like operating system after which it is named.
vk	the largest European social network with over a 100 million active users.
vhd	a file format which represents a virtual hard disk drive (HDD). It may contain what is found on a physical HDD, such as disk partitions and a file system. It is typically us
vertex-array	 
x-cart	highly affordable, has tons of features, works as expected out of the box, and has several unique and useful features.
xbmc	an open-source media centre, available on multiple platforms
authsub	Google AuthSub authentication for google endpoints.
batterylevel	The amount of charge remaining in the battery of a portable electronic device
art	the product or process of deliberately arranging items (often with symbolic significance) in a way that influences and affects one or more of the senses, emotions, and intellect.
gio	 
parenthesis	a symbol such as ( or ).
thread-local-storage	a computer programming method that uses static or global memory local to a thread
thread-dump	When debugging it becomes necessary to dump the thread state of the application, this is usually to find a deadlock, lock contention or leaking connections.
pacman	an arcade game developed by Namco and licensed for distribution in the United States by Midway, first released in Japan on May 22, 1980.
geometric-arc	A geometric shape that represents a segment of a circle. Generally is measured by two angles, starting and ending, and it's radius. If you need an arc of an ellipse, please be sure to tag the question
mathematica-frontend	Programming the FrontEnd Notebook interface component of Wolfram Mathematica. New dedicated Mathematica SE site: http://mathematica.stackexchange.com/
netlink	a socket based inter process communication protocol for Linux systems.  It is currently the preferred way, as of 2.6, of communicating with user space from the kernel.
signpost	"a Java OAuth-1.0 framework under APL-2.0 license written and maintained by Matthias Kppler.

Since OAuth-1.0 is deprecated in favor of OAuth-2.0 - use it only for legacy projects (until"
pixel-bender	a programing language for the description of image processing algorithms.
template-matching	the process of finding a smaller known template image in another larger image.
exec-maven-plugin	The Exec Maven Plugin allows to execute arbitrary programs or other Java programs during a Maven build.
ilog	Recently purchased and rebranded by IBM as Websphere JRules, ILog JRules is the former name of a suite of tools used to create and run rule-based applications.
weblogic9.x	The 9.x (November 2006) release of WebLogic Server, a Java EE application server suite from Oracle. It's part of their Oracle Fusion Middleware product.
zpl	"ZPL stands for the ""Zebra Programming Language"" and is a proprietary programming language used to communicate to Zebra branded printers."
contain	 
plus	 
blobs	 
mix	 
android-date	 
sitemapprovider	ASP.NET System.Web.SiteMapProvider class that provides a common base class for all site map data providers, and a way for developers to implement custom site map data providers that can be used with t
idispatch	 
time-t	 
timetable	 
enunciate	an engine for dramatically enhancing your Java Web service API.
grails-validation	 
google-finance	a service used to track stock and portfolio information. Originally had a public API, but the API is scheduled for shutdown on October 20, 2012.
nonlinear-optimization	 
xml-libxml	For the Perl XML parsing module. For the C library libxml2, use the libxml2 tag.
gae-eclipse-plugin	 
mouse-position	 
numerical-integration	Algorithms that integrate functions over one or more dimensions using approximation techniques, instead of exact, closed-form solutions using symbolic algebra and calculus. Includes concepts like adap
rasterizing	 
xmldataprovider	 
kernighan-and-ritchie	C was created by Dennis Ritchie. Brian Kernighan wrote the first C tutorial. The authors came together to write the book in conjunction with the language's early development at AT&T Bell Labs. The ver
kanban	a method for developing software products and processes with an emphasis on just-in-time delivery while not overloading the software developers.
sqlcachedependency	 
defaultdict	a subclass of the python built-in dict class that greatly simplifies the creation of dictionaries of python objects.
appfuse	a full-stack framework for building web applications on the JVM. It was originally developed to eliminate the ramp-up time found when building new web applications. Over the years, it has m
nsinputstream	 
qfilesystemmodel	a class from the Qt toolkit which provides a data model for the local filesystem.
qfile	The QFile class of Qt library which provides an interface for reading from and writing to files.
qfiledialog	a class from the Qt toolkit which provides a dialog allowing users to select files or directories.
nslookup	 
jquery-ui-tooltip	Tooltips can be attached to any element. When you hover the element with your mouse, the title attribute is displayed in a little box next to the element, just like a native tooltip.
android-ndk-r5	"The Android Native Development Kit enables users to call C/C++ code from their applications running in the Dalvik Virtual Machine. 
Use this tag only for questions relating specifically to revision 5"
date-comparison	for questions about the comparison of dates, in any Language or Format-Date
device-admin	The Device Administration API for Android 2.2 and later allows applications to enforce security policies by requiring a password or encryption, and to lock or wipe the device programmatically.
amazon-sns	Amazon Simple Notification Service (Amazon SNS) is a web service that makes it easy to set up, operate, and send notifications from the cloud. It provides developers with a highly scalable, flexible, 
ancestor	"a node that is connected to all lower-level nodes. The connected lower-level nodes are ""descendants"" of the ancestor node."
abbreviation	For questions related to short forms of words or phrases.
gnu-prolog	an ISO compliant Prolog dialect developed by Daniel Diaz. In addition to traditional Prolog functionality GNU Prolog supports constraints solving over finite domains. Furthermore, GNU Pr
gnuradio	a free software development toolkit that provides the signal processing runtime and processing blocks to implement software radios.
glossary	 
kalman	a mathematical method. Its purpose is to reduce noise and randomness in collected data, making the recorded data closer to the actual.
kerning	The inter-glyph distance of two characters rendered with a font
ubuntu-9.04	For issues relating to using Ubuntu, version 9.04.
numberpicker	a UI element that lets the user pick a numeric value.
nuget-server	Hosted or on-premise NuGet package repositories based on the open-source NuGet Gallery or NuGet.Server library.
lzo	a (text) compression algorithm from the Lempel-Ziv family, which favours speed against compression ratio.
android-twitter	Using the twitter API on Android
stdthread	a C++11 standard library type which runs a function a new thread
opos	OLE for Retail POS.  An architecture for Win32-based POS device access.
dup2	a c system call that duplicates a file descriptor
roxygen	an in-source documentation system for R.  It is based on Doxygen, and is an alternative to creating .Rd files, in that it automatically creates the package's .Rd files from the in-source do
graniteds	an open source framework for building Flex/Java solution. It offers solutions for remoting, messaging, code generation and integration with Java frameworks as Seam and Spring.
currentculture	 
pos-tagger	a concrete implementation of algorithms which associate discrete terms, as well as hidden parts of speech, in accordance with a set of descriptive tags, such
titanium-alloy	An MVC-inspired Appcelerator framework for the Titanium SDK, with focus on rapid development/prototyping. Contains built-in support for Backbone.js and Underscore.js.
android-download-manager	A system service that handles long-running HTTP downloads in Android
cgrectmake	used in iOS, it returns a rectangle with the specified coordinate and size values.
folder-structure	 
pluralize	 
multisampling	 
system.componentmodel	The System.ComponentModel namespace provides classes that are used to implement the run-time and design-time behavior of components and controls. This namespace includes the base classes and interface
spelling	 
vcr	a ruby tool that facilitates testing HTTP-dependent code by recording HTTP interactions for future playback.
c++98	The 1998 revision of the C++ standard, ISO/IEC 14882:1998. 
wcf-performance	 
netconnection	 
jad	a decompiler for the Java programming language.
flac	an acronym for Free Lossless Audio Codec. The codec uses a compression scheme that was designed specifically for audio, resulting in a fast, good compression ratio with no loss of quality. FLA
perl6	for all questions related to the Perl 6 programming language.
sshd	the server side process to which SSH clients can connect and invoke commands and services. Note that system administration questions are off-topic on this site.
sshfs	a file system client to mount and interact with directories and files located on a remote server or workstation. The client interacts with the remote file system vi
ssid	 
strictmode	an Android debug mode for GingerBread and up.  It throws exceptions when the application tries  to do something slow on the main UI thread.
gen-server	"gen_server stands for ""generic server"", a module behaviour in Erlang."
asplinkbutton	an ASP.NET control that displays a hyperlink-style button control on a Web page.
hosts-file	"a computer file used in an operating system to map hostnames to IP addresses. The hosts file is a plain text file and is conventionally named hosts.

"
e4	a completely new approach of the Eclipse API available since Eclipse version 4. Use this tag for questions about the Eclipse e4 API.
git-add	git-add - Add file contents to the index 
real-world-haskell	Questions about the Real World Haskell Book by O'Sullivan, Goerzen & Stewart
gh-unit	a test framework for Objective-C, Mac OS X 10.5 and above and iPhone 3.x and above. It can be used standalone or with other testing frameworks like SenTestingKit or GTM.
hibernate-onetomany	Questions regarding the implementation of one to many relations using Hibernate ORM framework
awstats	an open source web analytics tool that parses server logs to provide website analytics. 
axiom	an Java library developed by Apache that provides an XML object model implementation.
autosys	"a workload automation tool supplied by  Computer Associates. Current version is r11.3. 

The Application Servers and Schedulers are supported on: Solaris, AIX, HP-UX, Linux and Windows se"
xtify	A tool to send Push Notifications for iOS, Android, and Blackberry mobile applications
ws-federation	 
wql	 
vmware-fusion	A software system for running virtual machines (a hypervisor) used to run Windows or other operating systems on a Macintosh under OSX.
windows-azure-queues	 
wcag	Web Content Accessibility Guidelines (WCAG) are part of a series of Web accessibility guidelines published by the W3C's Web Accessibility Initiative. They consist of a set of guidelines for making con
brunch	a lightweight build system for web applications.
bsxfun	A versatile and useful Matlab command for applying element-by-element binary operation to two arrays with singleton expansion enabled.
browser-addons	A small program built into a browser that can perform special tasks, such as debugging.
broken-links	 
broken-pipe	 
cmath	 
coin-change	All problems (regardless of currency) with making change from a given amount of currency into a specific number of coins and bills of varying denominations.
css-tables	the abbreviation of Cascading Style Sheets
commerce	E-Commerce related questions
timeit	A Python built-in module for measuring execution time of small code snippets.
topshelf	a service hosting framework for building Windows services using .NET.
tetris	Block matching game created by  Alexey Pajitnov . Elements are 4-segmented pieces where the name of the game comes (tetra is numerical prefix in Greek used for 4).
tibco-ems	A proprietary enterprise messaging service (EMS) middleware product sold by TIBCO. It is widely used by large companies to connect very different computer systems by sending reliable messages between 
urlhelper	 
sql-server-triggers	A SQL Server object that assists in the constraint of various events.
stateful-session-bean	an enterprise bean (EJB component) that acts as a server-side extension of the client that uses it. The stateful session bean is created by a client and will work for only t
tab-ordering	 
supercsv	a fast and free open-source CSV API for Java.
readystate	 
simplehttpserver	SimpleHTTPServer refers to the basic HTTP server which can serve requests with files from the file system with a few lines of code. http://docs.python.org/library/simplehttpserver.html
selling-software	 
screenshots	a graphics file which shows the contents of a computer or device screen
rowdatabound	 
phrase	 
parsekit	an opensource string tokenizing and parsing toolkit written in Objective-C. For use on Mac OS X and iOS. Supports BNF-style grammars.
notnull	 
nested-array	an ordered data structure consisting of a collection of elements. Nested array is collection of array. Use this tag for questions related to nested-array.
mysql-insert-id	 
mpmediaquery	A media query specifies a set of media items (instances of MPMediaItem) from the iPod library by way of a filter and a grouping type. Filter and grouping type are both optional; an unqualified query m
jquery-1.4	For issues relating to using jQuery, version 1.4.
mass	 
email-templates	 
active-directory-group	Active Directory (or local computer) objects that can contain users, contacts, computers, and other groups. In Windows 2000, groups are created in domains, using the Active Directory Users 
getaddrinfo	`getaddrinfo(3)` provides network address and service translation.
file-size	 
icollectionview	 
ice	a distributed computing platform, backed by ZeroC.
intl	a PHP extension which give ability to use Unicode, software internationalization (I18N) and globalization (G11N) from the ICU library.
google-website-optimizer	a free website optimization tool that provides a framework for A/B and multivariate testing. 
http-status-code-304	The HTTP response status code 304 Not Modified
group-by-time-interval	"General problem of grouping data by some time interval, not necessarily confined to databases. 

"
hanging	 
google-search-appliance	 
iphone-sdk-3.1	Refers to the iPhone software development kit, version 3.1.
iphone-sdk-6.0	Questions specific to version 6.0 of the Apple iPhone Software Development Kit
itemlistener	The listener interface in Java AWT and Swing for receiving item events.
javascript-engine	 
jpeg2000	an image encoded format intended to supercede JPEG.
icefaces-1.8	Relates to ICEfaces 1.8, an open-source Rich Internet Application (RIA) development framework based on the JavaServer Faces 2 standard.
information-hiding	About Information Hiding
intermediate-language	An intermediate language, in compiler design, is a low-level language that typically resembles an idealized assembly language, often a textual representation of bytecode for a virtual machine. For .NE
firebird2.1	a relational database offering many ANSI SQL standard features that runs on Linux, Windows, and a variety of Unix platform.  For more information, visit the Firebird website: http://www.fi
esql	a storage-independent query language that is similar to SQL. Entity SQL allows you to query entity data, either as objects or in a tabular form.
exchange-server-2003	 
getch	 
web-forms-for-marketers	a Sitecore CMS module used to simplify the creation of forms within Sitecore CMS.
ajaxsetup	The ajaxSetup() method sets default values for future AJAX requests.
eclipse-rap	The Rich Ajax Platform lets you build rich, Ajax-enabled Web applications by using the Eclipse development model
drupal-menu	for topics related to the Drupal menu system.
dynamicquery	 
donations	 
django-flatpages	"a build-in extension that allows to store flat HTML content in a database and handles the management for you via Djangos admin interface and a Python API.
"
django-wsgi	django-wsgi refers to the WSGI deployment platform for Django
markitup	a JavaScript plug-in that allows any textarea to be turned into a markup editor.
mark	 
luajit	a Just-In-Time Compiler for the Lua programming language. LuaJIT offers more performance, at the expense of portability. On the supported OS's (all popular operating systems based on x86 or 
juggernaut	Realtime server push with node.js, WebSockets and Comet
multiscreen	multiscreen refers to development of software able to utilize multiple physical displays.
mod-pagespeed	an open-source Apache module that automatically optimizes web pages and resources on them.
memorycache	 
nsalert	 
node-webkit	a binding to WebKit for Node.js. It allows you to create user interfaces using the normal browser technologies and displays them in-process, where it can integrate tightly with Node cod
nscoder	The NSCoder abstract class declares the interface used by concrete subclasses to transfer objects and other Objective-C data items between memory and some other format.
nstextfieldcell	 
nsworkspace	An NSWorkspace object responds to application requests to perform a variety of services: Opening, manipulating, and obtaining information about files and devices, Tracking changes to the file system, 
opera-mini	a proxy Web browser including a thin client available on most feature phones and smartphone, and servers doing the hard rendering work.
odt	 
orders	 
outlet	 
project-reference	 
prims-algorithm	a fast algorithm for computing minimum spanning trees.
round-robin	Process scheduling algorithm based on time slice.A time quanta is given to each process for its execution. as the time slice is expired,the other process is allowed to execute. 
sifr3	 
soft-delete	 
service-locator	a design pattern used in software development to encapsulate the processes involved in obtaining a service with a strong abstraction layer. This pattern uses a central r
sge	an open source batch-queuing system, used to schedule jobs on high performance cluster computers.
sgml	Standard Generalized Markup Language(SGML) is the precursor to XML. It was an ISO standard used for electronic publishing of documents and books.
python-twitter	A Python wrapper around the Twitter API
pyscripter	a free and open-source software Python integrated development environment (IDE) editor for Windows. It is built in Object Pascal and released under the MIT license.
quantifiers	the binding of a variable ranging over a domain. The variable thereby becomes bound by an operator called a quantifier.
substrings	 
systemc	C++ library used for system-level modeling of hardware designs. Used by engineers in making architectural decisions, modeling performance and enabling software/firmware development concurrently with t
space-complexity	The number of memory cells which an algorithm needs.
unordered	 
tuple-unpacking	A Python feature in which elements of an iterable are simultaneously assigned to multiple variables, e.g. `a, b, c = [1, 2, 3]`.
typelib	a standard format for interface descriptions. It can store interface or class meta-data and make them accessible for different clients. Type libraries enable clients to call interfac
topic-modeling	"Topic models describe the frequency of topics in documents and text. A ""topic"" is a group of words which tend to occur together."
try-finally	 
commoncrypto	Apple's cryptography framework. Contains functions for generating commonly-used hashes and cryptographic functions.
dataservice	 
datagridcolumn	 
custom-titlebar	 
dart-editor	The Dart Editor provides an integrated development experience for the Dart language. The editor supports refactoring, breakpoints, code completion, code navigation, and more.
codesmith	a template driven source code generator that automates the creation of common application source code for any language.
chilkat	 
cglayer	 
widechar	a generic name for character sets wider than ASCII
video-conferencing	Questions related to video conferencing.  Video conferencing uses audio and video telecommunications to bring people at different sites together. This can be as simple as a conversation between people
validationattribute	 
autonumber	 
baud-rate	"""baud-rate"" refers to the number of signal or symbol changes that occur per unit time. This tag is for questions that get, set, or otherwise manipulate the baud rate."
bcc	a copy of an email message sent to a recipient whose email address does not appear in the message.
berkeley-db-je	part of the Oracle Berkeley DB family of products. It is a 100% Java library that links into your application, enabling key-value pair (NoSQL) and Java object data persiste
i18n-gem	Ruby internationalization and localization solution.
nfc-p2p	 
git-fetch	git-fetch - Download objects and refs from another repository 
sharppcap	a cross-platform packet capture framework for the .NET environment, based on the famous pcap / WinPcap libraries. It provides an API for capturing, injecting, analyzing and building packe
dynamic-variables	 
ssrs-2012	 
perfect-forwarding	Perfect forwarding describes a property of C++11 function templates which allows correctly deducing arguments as lvalues or rvalues and forwarding them in the same form to other functions.
java.util.date	"The officially supported java class for representing a moment in time (ie not a ""date"") is a thin wrapper around the epoch (1970-01-01) number of milliseconds"
nested-function	 
data-persistence	 
filechannel	 
tableofcontents	 
web-based	 
torque	TORQUE Resource Manager provides control over batch jobs and distributed computing resources. It is an open-source product based on the original PBS project.
systemtime	 
vpython	A free, open-source module for producing real-time 3D scenes with Python.
logrotate	A Linux tool for log files management.
expat-parser	an XML parser library written in C
expando	an custom property attached to a document object.
multi-project	 
dip	DIP short for Density Independent Pixel. It is used by android system as a unit of measurement to make GUI fit on different screen size with scaling. This allows the developer to create a single inter
tripledes	 
snipmate	a vim script that implements some of TextMate's snippets features in Vim.
snort	a open-source network intrusion detection/prevention system (NIDS/NIPS). 
mit-scheme	an implementation of the Scheme programming language, providing an interpreter, compiler, source-code debugger, integrated Emacs-like editor, and a large runtime library. MIT/GNU Sch
mknetworkkit	a MacOS & iOS networking framework that automatically takes care of caching responses and remembers operations when the client is offline.
cellular-network	a radio communication system characterised by a network of stationary transceivers spread over a wide geographical area, for example a city or a country.  A mobile transceiver is
documentlistener	A Listener object that reacts to the opening/closing of a document on a GUI component
schtasks.exe	Enables an administrator to create, delete, query, change, run, and end scheduled tasks on a local or remote computer running Windows Server 2008. Running Schtasks.exe without arguments displays the s
nautilus	the official file manager and desktop shell for the GNOME desktop. Nautilus is is extensible via C and Python.
scaletransform	 
canonicalization	"is a process for converting data that has more than one possible representation into a ""standard"", ""normal"", or canonical form."
opencover	a code coverage tool for .NET and currently supports .NET 2, 3 and 4
application-start	"Application_Start method called by ASP.NET once for the lifetime of the application domain, not for each HttpApplication instance.
It's called when the first resource (such as a page) in an ASP.NET a"
phase	 
pg-search	Ruby gem that builds ActiveRecord named scopes that take advantage of PostgreSQL's full text search.
dunit	xUnit-style unit testing for Borland Delphi programs.
double-pointer	a data type which can point to another single pointer itself. 
note	 
ora-00933	SQL command not properly ended. Cause: You tried to execute an SQL statement with an inappropriate clause.
stencil-buffer	 
gate	"a Java framework for developing natural language processing applications.
"
django-taggit	a reusable Django application designed to making adding tagging to your project easy and fun.
jomsocial	A social networking software which can be used with Joomla.
disassembler	A disassembler converts object code into assembly source code (or, more often, an approximation) typically for reverse engineering or debugging.  Please include a CPU architecture tag along with this 
data-transfer-objects	 
nsnetservice	 
factory-method	Define an interface for creating an object, but let the classes that implement the interface decide which class to instantiate.
app.xaml	 
balanced-payments	balanced-payments refers to the libraries and RESTful API created by Balanced for processing credit cards and ACH payments.
backing-beans	 
application-bar	 
arff	An ARFF (Attribute-Relation File Format) file is an ASCII text file that describes a list of instances sharing a set of attributes
asp.net-mvc-views	 
atlas	The ATLAS (Automatically Tuned Linear Algebra Software) project is an ongoing research effort focusing on applying empirical techniques in order to provide portable performance.
desktop-shortcut	 
angularjs-controller	 
angstrom-linux	a versatile Linux distribution designed for embedded devices like handhelds, set top boxes and network-attached storage devices.
jwt	an emerging type of token-based-authentication use in space constrained environments such as HTTP Authorization headers.
jgrapht	a free Java graph library that provides mathematical graph-theory objects and algorithms.
maemo	a software platform that is mostly based on open source code and powers mobile devices such as the Nokia N810 and N900 Internet Tablets. Maemo platform has been developed by Nokia in collabor
machinekey	 
zbar	for questions not specific to iPhone. ZBar is an open source (GNU LGPL 2.1) software suite for reading bar codes from various sources, such as video streams, image files and raw intensity sensors. It 
egl	an interface between Khronos rendering APIs such as OpenGL ES or OpenVG and the underlying native platform window system. It handles graphics context management, surface/buffer binding, and re
mysql-5.5	 
non-deterministic	In programming, non-deterministic means the results are not determined on different runs.
dsl-tools	 
dwolla	Dwolla allows anyone connected to the Internet to safely send and receive money. Dwolla's API enables developers to easily integrate money functionality into their applications, moving funds around in
pgm	"a grayscale image format used by the Netpbm library and other graphics software.

PGM is also an abbreviation for Pragmatic General Multicast"
wireshark-dissector	a powerful open source tool used to dissect Ethernet packets.
